step,call_object,english_script,chinese_internal_note,target_result
1 开场找负责人,前台/总机,"Hi, this is Kevin from HUASUE Mould Plastic. We manufacture food plastic packaging for cookies, snacks, chocolate and bakery products. May I speak with the person in charge of packaging or purchasing?",先别讲太多产品。目标是转采购/包装负责人。,转接采购/包装负责人
2 对方问你是谁,前台或采购,"We are a plastic packaging manufacturer. We have PP tubs, tamper-evident boxes, PET jars and clear boxes. I will be in Malaysia for MIFB, booth 2709, and I hope to show suitable samples to your team.",一句话说清楚你是谁、做什么、为什么现在联系。,让对方知道不是消费者投诉/普通推销
3 要采购直连,前台/行政,"Could I have the direct WhatsApp or email of the packaging/purchasing person in charge? I can send product photos first, so they can decide whether it is worth a short meeting.",不要说 private contact，用 direct WhatsApp/direct email 更自然。,拿到采购WhatsApp或邮箱
4 对方不方便给联系方式,前台/行政,No problem. Could you help me forward a short message to them? May I know the best email address for packaging or purchasing enquiries?,退一步拿部门邮箱或让对方转发。,至少拿到有效邮箱
5 已转采购后,采购/包装负责人,"Hi, I am Kevin from HUASUE. I noticed your company has products that may use tubs, jars or retail snack packaging. We make PP and PET food packaging, including T/J tubs and tamper-evident boxes. May I send you a few sample photos by WhatsApp?",采购接电话后，第一目标不是约见，是获得允许发图。,获得WhatsApp发图许可
6 对方问价格,采购,"Price depends on size, material, printing and order quantity. Before quoting, I would like to understand your current packaging size and annual or monthly usage. If the product matches, I can bring samples during MIFB.",不要一上来报价。先问尺寸和用量。,获取SKU/尺寸/用量
7 对方说已有供应商,采购,"Understood. Many factories already have suppliers. We are not asking you to change immediately. I would like to show an alternative option for new products, seasonal packs or backup supply. If useful, we can meet for 10 minutes during MIFB.",降低防御：不是马上替换现有供应商。,约短会或获得后续机会
8 对方说发邮件,采购/前台,"Sure. Could you give me the best email for packaging or purchasing? After I send it, may I also have a WhatsApp number for quick sample confirmation?",发邮件不是结束，要顺手要WhatsApp。,邮箱 + WhatsApp
9 约展位见面,采购/老板,"I will be at MIFB 2026, KLCC, booth 2709 from July 15 to 17. Would it be convenient for your purchasing or product team to visit our booth? I can prepare the most relevant samples for your products.",展会期间优先让对方来展位。,确认展位拜访日期/时间/人数
10 约我去拜访,采购/老板,"I will be in Malaysia from July 11 to July 18. If your team is not visiting MIFB, I can also visit your office or factory before or after the exhibition, depending on your schedule.",给对方两个选择：来展位，或你去拜访。,拿地址、时间、联系人
11 对方没兴趣,采购,"May I ask if your current products mainly use soft packs, paper boxes, or plastic tubs/jars? I can mark it correctly and avoid disturbing you if it is not suitable.",即使没兴趣，也收集包装类型，避免下次浪费时间。,获得不适配原因
12 结束确认,任何对象,"Thank you. I will send the sample photos and company information shortly. May I confirm the contact person, WhatsApp/email, and the best time to follow up?",电话最后必须复述信息。,确认联系人和下一步
